Entity,Code,Year,15–19 years,20–24 years,25–29 years
Albania,ALB,1987,2.8994846,8.898015,2.4322445
Albania,ALB,1988,1.5787811,6.709158,1.7029973
Albania,ALB,1989,1.5571473,3.9695666,5.0386295
Albania,ALB,1992,3.0737705,2.6585643,1.927525
Albania,ALB,1993,4.5952635,6.105006,4.1254125
Albania,ALB,1994,2.1253984,2.4742267,2.092926
Albania,ALB,1995,3.180212,6.2060404,5.47599
Albania,ALB,1996,4.188482,8.578431,6.658344
Albania,ALB,1997,7.233896,13.301088,11.494253
Albania,ALB,1998,10.217983,11.562999,9.341998
Albania,ALB,1999,9.146341,6.3441715,6.0557127
Albania,ALB,2000,2.2058823,2.1561017,3.9525692
Albania,ALB,2001,3.0478926,4.308265,7.041956
Albania,ALB,2002,3.6419861,7.5948086,8.424954
Albania,ALB,2003,5.1934395,5.2237577,5.1813474
Albania,ALB,2004,5.0872464,8.694863,6.4217534
Albania,ALB,2005,0,0,0
Albania,ALB,2006,0,0,0
Albania,ALB,2007,4.5212193,4.619329,6.5319986
Albania,ALB,2008,6.937241,3.8452518,7.5058975
Albania,ALB,2009,0,0,0
Albania,ALB,2010,1.73628,4.311747,4.576799
Antigua and Barbuda,ATG,1966,0,0,0
Antigua and Barbuda,ATG,1969,0,0,0
Antigua and Barbuda,ATG,1970,0,0,0
Antigua and Barbuda,ATG,1971,0,0,0
Antigua and Barbuda,ATG,1972,0,0,0
Antigua and Barbuda,ATG,1973,0,0,0
Antigua and Barbuda,ATG,1974,0,0,0
Antigua and Barbuda,ATG,1975,0,0,0
Antigua and Barbuda,ATG,1976,0,0,0
Antigua and Barbuda,ATG,1977,0,0,0
Antigua and Barbuda,ATG,1978,0,0,0
Antigua and Barbuda,ATG,1985,0,0,0
Antigua and Barbuda,ATG,1986,0,0,0
Antigua and Barbuda,ATG,1987,0,0,0
Antigua and Barbuda,ATG,1988,0,0,0
Antigua and Barbuda,ATG,1989,0,0,0
Antigua and Barbuda,ATG,1990,0,0,0
Antigua and Barbuda,ATG,1991,0,0,0
Antigua and Barbuda,ATG,1992,0,0,0
Antigua and Barbuda,ATG,1993,0,0,16.329197
Antigua and Barbuda,ATG,1994,0,0,0
Antigua and Barbuda,ATG,1995,0,0,0
Antigua and Barbuda,ATG,1998,0,0,0
Antigua and Barbuda,ATG,1999,0,0,0
Antigua and Barbuda,ATG,2000,0,0,0
Antigua and Barbuda,ATG,2001,0,0,0
Antigua and Barbuda,ATG,2002,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0
Antigua and Barbuda,ATG,2004,0,0,0
Antigua and Barbuda,ATG,2005,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0
Antigua and Barbuda,ATG,2007,0,0,0
Antigua and Barbuda,ATG,2008,0,0,0
Antigua and Barbuda,ATG,2009,0,0,0
Antigua and Barbuda,ATG,2010,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0
Antigua and Barbuda,ATG,2016,0,0,0
Antigua and Barbuda,ATG,2017,0,0,0
Antigua and Barbuda,ATG,2018,0,0,0
Antigua and Barbuda,ATG,2019,0,0,0
Antigua and Barbuda,ATG,2020,0,0,0
Antigua and Barbuda,ATG,2021,0,13.290803,0
Argentina,ARG,1966,4.826546,8.347434,8.169533
Argentina,ARG,1967,7.45679,10.590182,10.376214
Argentina,ARG,1968,7.3750606,12.284483,11.616767
Argentina,ARG,1969,7.938785,12.216956,10.901591
Argentina,ARG,1970,8.399813,11.812216,11.683054
Argentina,ARG,1977,6.78829,8.83659,8.894349
Argentina,ARG,1978,6.051753,9.261686,8.518877
Argentina,ARG,1979,4.4389644,5.935484,7.2891855
Argentina,ARG,1980,4.6672945,6.3128467,6.4216743
Argentina,ARG,1981,4.2398286,7.56909,7.292909
Argentina,ARG,1982,4.048583,6.1215935,6.021978
Argentina,ARG,1983,4.0239043,5.1567655,5.363322
Argentina,ARG,1984,3.444698,5.073256,5.129359
Argentina,ARG,1985,3.5142202,5.985703,5.360624
Argentina,ARG,1986,4.3476496,7.707459,6.211454
Argentina,ARG,1987,4.612546,6.636233,5.8271003
Argentina,ARG,1988,5.0918837,7.549557,5.993001
Argentina,ARG,1989,4.0595903,6.5443935,6.660862
Argentina,ARG,1990,4.08237,6.2422996,5.67591
Argentina,ARG,1991,3.8105047,5.1312647,6.0271645
Argentina,ARG,1992,4.5662103,7.344084,6.3884335
Argentina,ARG,1993,4.0988774,6.742424,6.411057
Argentina,ARG,1994,5.39914,6.2863026,6.0865273
Argentina,ARG,1995,5.1643333,7.281122,6.394431
Argentina,ARG,1996,5.5913854,6.691704,5.6371574
Argentina,ARG,1997,5.4275303,6.7050576,5.966716
Argentina,ARG,1998,6.6854897,7.185708,6.4157434
Argentina,ARG,1999,6.6634097,7.523166,6.5565615
Argentina,ARG,2000,7.5903893,10.26911,8.374554
Argentina,ARG,2001,9.403906,11.562335,8.483612
Argentina,ARG,2002,8.881991,12.5372505,9.878686
Argentina,ARG,2003,11.206058,13.781997,10.005564
Argentina,ARG,2004,11.149594,13.688857,10.766185
Argentina,ARG,2005,10.596788,13.333912,9.83889
Argentina,ARG,2006,11.605323,13.546392,10.862617
Argentina,ARG,2007,10.264931,11.375446,11.196335
Argentina,ARG,2008,10.210952,13.701173,10.708031
Argentina,ARG,2009,10.321102,12.363607,10.644678
Argentina,ARG,2010,9.930562,14.405858,9.987723
Argentina,ARG,2011,11.694354,13.358028,11.349604
Argentina,ARG,2012,12.63879,14.657631,12.112478
Argentina,ARG,2013,11.946297,12.721192,9.76982
Argentina,ARG,2014,12.466571,14.449597,10.183262
Argentina,ARG,2015,10.376552,12.648142,8.638829
Argentina,ARG,2016,10.351239,13.030392,10.004916
Argentina,ARG,2017,11.154662,13.612318,10.772254
Argentina,ARG,2018,11.305092,13.92029,11.615138
Argentina,ARG,2019,11.141442,13.621923,11.705209
Argentina,ARG,2020,9.634268,11.934427,10.027699
Argentina,ARG,2021,8.477906,11.78912,10.35432
Argentina,ARG,2022,9.385732,13.70857,12.92154
Armenia,ARM,1981,1.1719894,2.2277918,2.1945868
Armenia,ARM,1982,1.2210013,0.5566379,2.8011205
Armenia,ARM,1985,0.6861063,1.4916468,1.8467221
Armenia,ARM,1986,1.0478519,0.9363296,2.395927
Armenia,ARM,1987,0.35014006,2.2883296,1.4775413
Armenia,ARM,1988,0.7087172,3.0991735,2.0876827
Armenia,ARM,1989,2.5945144,2.9112082,2.7590435
Armenia,ARM,1990,2.657555,2.2421525,2.5212731
Armenia,ARM,1991,1.3315579,0.7109847,5.4002542
Armenia,ARM,1992,0.9778357,2.468265,1.6276041
Armenia,ARM,1993,1.5984654,1.7488632,4.0227957
Armenia,ARM,1994,0.9416196,2.4364777,2.0782819
Armenia,ARM,1995,0.92109305,3.4352455,3.558719
Armenia,ARM,1996,0.59934074,1.0118043,2.8891296
Armenia,ARM,1997,0.5847953,0.6626905,1.4450867
Armenia,ARM,1998,0.57126534,0.6508298,1.4342058
Armenia,ARM,1999,0.83379656,0.9557184,1.0653409
Armenia,ARM,2000,0.80192465,0.9230769,0.6894174
Armenia,ARM,2001,0.53015804,0.6051987,0.3421178
Armenia,ARM,2002,0.9502181,1.1014348,2.6640499
Armenia,ARM,2003,0,0.35470176,1.294543
Armenia,ARM,2006,0.6773737,2.9432867,1.3545609
Armenia,ARM,2007,1.75621,1.8117781,1.3242285
Armenia,ARM,2008,0.3217493,0.9493611,1.4390974
Armenia,ARM,2009,1.9321954,0.35771647,1.2642065
Armenia,ARM,2010,2.4456754,1.4412025,2.4677243
Armenia,ARM,2011,1.7318116,2.5530767,1.1951858
Armenia,ARM,2012,1.354035,1.3857757,1.4518266
Armenia,ARM,2013,0.96249634,0.3593503,1.4389007
Armenia,ARM,2014,0.5105453,1.5221511,1.442325
Armenia,ARM,2015,1.0803394,1.2307237,2.5296328
Armenia,ARM,2016,0.5703595,2.2490711,1.090354
Armenia,ARM,2017,2.9535408,0.49077347,0.7433618
Armenia,ARM,2018,0,1.5800284,0.38717672
Armenia,ARM,2019,1.2017787,0.5583878,0.41028
Armenia,ARM,2020,0,1.6997263,0.4302426
Armenia,ARM,2021,1.1528374,1.1793218,0.90907025
Armenia,ARM,2022,2.7502146,1.2500391,0.5128205
Armenia,ARM,2023,2.355144,1.2752987,2.7965927
Australia,AUS,1950,3.2626426,5.928237,7.0859165
Australia,AUS,1951,4.5587163,8.098427,7.478786
Australia,AUS,1952,4.8171277,6.15239,10.373739
Australia,AUS,1953,3.13917,7.479675,9.657719
Australia,AUS,1954,3.887105,7.0116863,11.543395
Australia,AUS,1955,3.5865667,7.7584753,8.996144
Australia,AUS,1956,2.1995287,6.7170444,11.428572
Australia,AUS,1957,3.4633338,7.6960864,11.167513
Australia,AUS,1958,4.088188,11.04,12.782402
Australia,AUS,1959,3.7292817,6.186205,10.739676
Australia,AUS,1960,2.7308192,6.419827,11.462632
